# PropArm Data Recording
# Export Time: 2025-11-19T19:00:49
# Number of Points: 396
# Recording Duration: 19.981 seconds
# Start Time: 2025-11-19T18:59:27
# End Time: 2025-11-19T18:59:47
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
15.175878,59.804421,60.000000,536.108030,1439.00,7.1950,0.195579
15.225902,59.787877,60.000000,536.794470,1438.00,7.1900,0.212123
15.276873,59.510962,60.000000,537.217280,1435.00,7.1750,0.489038
15.328148,59.394909,60.000000,536.686568,1438.00,7.1900,0.605091
15.377936,59.389947,60.000000,538.153963,1439.00,7.1950,0.610053
15.428904,59.298098,60.000000,536.592888,1435.00,7.1750,0.701902
15.478927,59.347658,60.000000,537.639245,1435.00,7.1750,0.652342
15.529851,59.422467,60.000000,537.895888,1437.00,7.1850,0.577533
15.580881,59.587773,60.000000,536.342820,1436.00,7.1800,0.412227
15.630913,59.491499,60.000000,537.786657,1434.00,7.1700,0.508501
15.681870,59.484799,60.000000,536.694438,1438.00,7.1900,0.515201
15.731920,59.795859,60.000000,537.558118,1437.00,7.1850,0.204141
15.782885,60.115007,60.000000,536.220940,1433.00,7.1650,-0.115007
15.833843,60.405486,60.000000,536.735974,1434.00,7.1700,-0.405486
15.883880,60.391769,60.000000,537.600503,1436.00,7.1800,-0.391769
15.934864,60.503855,60.000000,535.982707,1442.00,7.2100,-0.503855
15.984873,60.646244,60.000000,537.284331,1434.00,7.1700,-0.646244
16.034900,61.094135,60.000000,535.893977,1435.00,7.1750,-1.094135
16.085885,61.399728,60.000000,537.380150,1436.00,7.1800,-1.399728
16.136871,61.626623,60.000000,535.179163,1434.00,7.1700,-1.626623
16.186897,61.843298,60.000000,536.491638,1434.00,7.1700,-1.843298
16.237847,61.928738,60.000000,536.185003,1431.00,7.1550,-1.928738
16.288188,61.961931,60.000000,536.058987,1436.00,7.1800,-1.961931
