Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,PWM_Input_us,Duty_Cycle_percent,Tracking_Error_deg
1.990131,9.536100,15.000000,1251.00,6.2550,5.463900
2.000244,9.536100,15.000000,1251.00,6.2550,5.463900
2.010329,9.536100,15.000000,1251.00,6.2550,5.463900
2.020370,9.536100,15.000000,1251.00,6.2550,5.463900
2.030375,9.536100,15.000000,1251.00,6.2550,5.463900
2.040374,9.536100,15.000000,1252.00,6.2600,5.463900
2.050474,9.536100,15.000000,1252.00,6.2600,5.463900
2.060538,9.536100,15.000000,1252.00,6.2600,5.463900
2.070724,9.536100,15.000000,1252.00,6.2600,5.463900
2.080696,9.536100,15.000000,1252.00,6.2600,5.463900
2.090702,9.536100,15.000000,1252.00,6.2600,5.463900
2.100861,9.536100,15.000000,1252.00,6.2600,5.463900
2.110812,9.536100,15.000000,1252.00,6.2600,5.463900
2.120800,9.536100,15.000000,1252.00,6.2600,5.463900
2.130846,9.536100,15.000000,1252.00,6.2600,5.463900
2.140921,9.536100,15.000000,1252.00,6.2600,5.463900
2.151026,9.536100,15.000000,1252.00,6.2600,5.463900
2.160979,9.536100,15.000000,1252.00,6.2600,5.463900
2.171006,9.536100,15.000000,1252.00,6.2600,5.463900
2.181014,9.536100,15.000000,1252.00,6.2600,5.463900
2.191181,9.536100,15.000000,1252.00,6.2600,5.463900
2.201167,9.536100,15.000000,1252.00,6.2600,5.463900
2.211218,9.536100,15.000000,1252.00,6.2600,5.463900
2.221254,9.536100,15.000000,1252.00,6.2600,5.463900
2.231224,9.536100,15.000000,1252.00,6.2600,5.463900
2.241413,9.536100,15.000000,1252.00,6.2600,5.463900
2.251429,9.536100,15.000000,1252.00,6.2600,5.463900
2.261465,9.536100,15.000000,1252.00,6.2600,5.463900
2.271431,9.536100,15.000000,1253.00,6.2650,5.463900
2.281443,9.536100,15.000000,1253.00,6.2650,5.463900
2.291588,9.536100,15.000000,1253.00,6.2650,5.463900
2.301628,9.536100,15.000000,1253.00,6.2650,5.463900
2.311683,9.536100,15.000000,1253.00,6.2650,5.463900
2.321662,9.536100,15.000000,1253.00,6.2650,5.463900
2.331813,9.536100,15.000000,1253.00,6.2650,5.463900
2.341886,9.536100,15.000000,1253.00,6.2650,5.463900
2.351897,9.536100,15.000000,1253.00,6.2650,5.463900
2.361937,9.536100,15.000000,1253.00,6.2650,5.463900
2.371883,9.536100,15.000000,1253.00,6.2650,5.463900
2.381921,9.536416,15.000000,1253.00,6.2650,5.463584
2.392102,9.537193,15.000000,1253.00,6.2650,5.462807
2.402120,9.538415,15.000000,1253.00,6.2650,5.461585
2.412208,9.540562,15.000000,1253.00,6.2650,5.459438
2.422126,9.543528,15.000000,1253.00,6.2650,5.456472
2.432167,9.547443,15.000000,1253.00,6.2650,5.452557
2.442359,9.552479,15.000000,1253.00,6.2650,5.447521
2.452339,9.559073,15.000000,1253.00,6.2650,5.440927
2.462308,9.567271,15.000000,1253.00,6.2650,5.432729
2.472322,9.577347,15.000000,1253.00,6.2650,5.422653
2.482397,9.589321,15.000000,1253.00,6.2650,5.410679
2.492581,9.603257,15.000000,1253.00,6.2650,5.396743
2.502488,9.619343,15.000000,1253.00,6.2650,5.380657
2.512516,9.637724,15.000000,1253.00,6.2650,5.362276
2.522549,9.658422,15.000000,1253.00,6.2650,5.341578
2.532528,9.681498,15.000000,1253.00,6.2650,5.318502
2.542745,9.707166,15.000000,1253.00,6.2650,5.292834
2.552948,9.735511,15.000000,1253.00,6.2650,5.264489
2.562899,9.766278,15.000000,1253.00,6.2650,5.233722
2.572923,9.799780,15.000000,1253.00,6.2650,5.200220
2.583041,9.836091,15.000000,1253.00,6.2650,5.163909
2.593094,9.875374,15.000000,1253.00,6.2650,5.124626
2.603153,9.917411,15.000000,1253.00,6.2650,5.082589
2.613159,9.962361,15.000000,1253.00,6.2650,5.037639
2.623232,10.009935,15.000000,1253.00,6.2650,4.990065
2.633307,10.060536,15.000000,1253.00,6.2650,4.939464
2.643400,10.114328,15.000000,1253.00,6.2650,4.885672
2.653483,10.171254,15.000000,1253.00,6.2650,4.828746
2.663502,10.230882,15.000000,1253.00,6.2650,4.769118
2.673575,10.293236,15.000000,1253.00,6.2650,4.706764
2.683805,10.358442,15.000000,1253.00,6.2650,4.641558
2.693916,10.426493,15.000000,1253.00,6.2650,4.573507
2.703762,10.497440,15.000000,1253.00,6.2650,4.502560
2.713780,10.570806,15.000000,1253.00,6.2650,4.429194
2.723823,10.646653,15.000000,1253.00,6.2650,4.353347
2.733937,10.725179,15.000000,1253.00,6.2650,4.274821
2.743896,10.806583,15.000000,1253.00,6.2650,4.193417
2.753840,10.890190,15.000000,1253.00,6.2650,4.109810
2.763966,10.975827,15.000000,1253.00,6.2650,4.024173
2.773989,11.063886,15.000000,1253.00,6.2650,3.936114
2.784083,11.154558,15.000000,1253.00,6.2650,3.845442
2.794144,11.247225,15.000000,1253.00,6.2650,3.752775
2.804078,11.341320,15.000000,1253.00,6.2650,3.658680
2.814208,11.437007,15.000000,1253.00,6.2650,3.562993
2.824207,11.534428,15.000000,1253.00,6.2650,3.465572
2.834278,11.633584,15.000000,1253.00,6.2650,3.366416
2.844364,11.733693,15.000000,1253.00,6.2650,3.266307
2.854294,11.834902,15.000000,1253.00,6.2650,3.165098
2.864481,11.937319,15.000000,1253.00,6.2650,3.062681
2.874447,12.040973,15.000000,1253.00,6.2650,2.959027
2.884576,12.145324,15.000000,1253.00,6.2650,2.854676
2.894642,12.249884,15.000000,1253.00,6.2650,2.750116
2.904566,12.354959,15.000000,1253.00,6.2650,2.645041
2.914721,12.460944,15.000000,1253.00,6.2650,2.539056
2.924698,12.567122,15.000000,1253.00,6.2650,2.432878
2.934643,12.672864,15.000000,1253.00,6.2650,2.327136
2.944730,12.778823,15.000000,1253.00,6.2650,2.221177
2.954725,12.884952,15.000000,1253.00,6.2650,2.115048
2.964832,12.990490,15.000000,1253.00,6.2650,2.009510
2.974814,13.095013,15.000000,1253.00,6.2650,1.904987
2.984769,13.199072,15.000000,1253.00,6.2650,1.800928
2.994908,13.302454,15.000000,1253.00,6.2650,1.697546
3.004879,13.404541,15.000000,1253.00,6.2650,1.595459
3.015040,13.505057,15.000000,1253.00,6.2650,1.494943
3.024998,13.604581,15.000000,1253.00,6.2650,1.395419
3.035006,13.702850,15.000000,1253.00,6.2650,1.297150
3.045090,13.799238,15.000000,1253.00,6.2650,1.200762
3.055040,13.893654,15.000000,1253.00,6.2650,1.106346
3.065184,13.986577,15.000000,1253.00,6.2650,1.013423
3.075180,14.077805,15.000000,1253.00,6.2650,0.922195
3.085263,14.166668,15.000000,1253.00,6.2650,0.833332
3.095400,14.253130,15.000000,1253.00,6.2650,0.746870
3.105315,14.337494,15.000000,1253.00,6.2650,0.662506
3.115391,14.419658,15.000000,1253.00,6.2650,0.580342
3.125427,14.499025,15.000000,1253.00,6.2650,0.500975
3.135506,14.575419,15.000000,1253.00,6.2650,0.424581
3.145495,14.649389,15.000000,1254.00,6.2700,0.350611
3.155634,14.720568,15.000000,1254.00,6.2700,0.279432
3.165629,14.788609,15.000000,1254.00,6.2700,0.211391
3.175640,14.853854,15.000000,1254.00,6.2700,0.146146
3.185764,14.916251,15.000000,1254.00,6.2700,0.083749
3.195670,14.975412,15.000000,1254.00,6.2700,0.024588
3.205728,15.031304,15.000000,1254.00,6.2700,-0.031304
3.216079,15.084304,15.000000,1254.00,6.2700,-0.084304
3.226024,15.134090,15.000000,1254.00,6.2700,-0.134090
3.235943,15.180272,15.000000,1254.00,6.2700,-0.180272
3.245925,15.223002,15.000000,1254.00,6.2700,-0.223002
3.255952,15.262469,15.000000,1254.00,6.2700,-0.262469
3.265912,15.298558,15.000000,1254.00,6.2700,-0.298558
3.276127,15.331260,15.000000,1254.00,6.2700,-0.331260
3.286120,15.360646,15.000000,1254.00,6.2700,-0.360646
3.296253,15.386617,15.000000,1254.00,6.2700,-0.386617
3.306279,15.409060,15.000000,1254.00,6.2700,-0.409060
3.316348,15.427989,15.000000,1254.00,6.2700,-0.427989
3.326327,15.443644,15.000000,1254.00,6.2700,-0.443644
3.336483,15.455938,15.000000,1254.00,6.2700,-0.455938
3.346388,15.464769,15.000000,1254.00,6.2700,-0.464769
3.356479,15.470292,15.000000,1254.00,6.2700,-0.470292
3.366541,15.472609,15.000000,1255.00,6.2750,-0.472609
3.376507,15.471813,15.000000,1255.00,6.2750,-0.471813
3.386525,15.468063,15.000000,1255.00,6.2750,-0.468063
3.396579,15.461413,15.000000,1255.00,6.2750,-0.461413
3.406648,15.451803,15.000000,1255.00,6.2750,-0.451803
3.416743,15.439340,15.000000,1255.00,6.2750,-0.439340
3.426693,15.424254,15.000000,1255.00,6.2750,-0.424254
3.436637,15.406091,15.000000,1255.00,6.2750,-0.406091
3.446643,15.385378,15.000000,1255.00,6.2750,-0.385378
3.456705,15.362256,15.000000,1255.00,6.2750,-0.362256
3.466781,15.336626,15.000000,1255.00,6.2750,-0.336626
3.476783,15.308605,15.000000,1255.00,6.2750,-0.308605
3.486760,15.278461,15.000000,1255.00,6.2750,-0.278461
3.496852,15.246311,15.000000,1255.00,6.2750,-0.246311
3.506925,15.212140,15.000000,1255.00,6.2750,-0.212140
3.517143,15.176030,15.000000,1255.00,6.2750,-0.176030
3.527032,15.138385,15.000000,1255.00,6.2750,-0.138385
3.536959,15.099029,15.000000,1255.00,6.2750,-0.099029
3.547100,15.057921,15.000000,1255.00,6.2750,-0.057921
3.557075,15.015372,15.000000,1255.00,6.2750,-0.015372
3.567207,14.971507,15.000000,1255.00,6.2750,0.028493
3.577164,14.926181,15.000000,1255.00,6.2750,0.073819
3.587144,14.879920,15.000000,1255.00,6.2750,0.120080
3.597228,14.833046,15.000000,1255.00,6.2750,0.166954
3.607329,14.785425,15.000000,1255.00,6.2750,0.214575
3.617523,14.737285,15.000000,1255.00,6.2750,0.262715
3.627412,14.688831,15.000000,1255.00,6.2750,0.311169
3.637397,14.640063,15.000000,1255.00,6.2750,0.359937
3.647412,14.591052,15.000000,1255.00,6.2750,0.408948
3.657560,14.542349,15.000000,1255.00,6.2750,0.457651
3.667554,14.493876,15.000000,1255.00,6.2750,0.506124
3.677648,14.445479,15.000000,1255.00,6.2750,0.554521
3.687700,14.397483,15.000000,1255.00,6.2750,0.602517
3.697627,14.350124,15.000000,1255.00,6.2750,0.649876
3.707723,14.303312,15.000000,1255.00,6.2750,0.696688
3.717862,14.257272,15.000000,1255.00,6.2750,0.742728
3.727874,14.212568,15.000000,1255.00,6.2750,0.787432
3.737964,14.168759,15.000000,1255.00,6.2750,0.831241
3.747968,14.126140,15.000000,1255.00,6.2750,0.873860
3.758022,14.085010,15.000000,1255.00,6.2750,0.914990
3.768193,14.045222,15.000000,1255.00,6.2750,0.954778
3.778198,14.006876,15.000000,1255.00,6.2750,0.993124
3.788212,13.970291,15.000000,1255.00,6.2750,1.029709
3.798352,13.935441,15.000000,1255.00,6.2750,1.064559
3.808390,13.902352,15.000000,1255.00,6.2750,1.097648
3.818452,13.871026,15.000000,1255.00,6.2750,1.128974
3.828466,13.841897,15.000000,1255.00,6.2750,1.158103
3.838480,13.814740,15.000000,1255.00,6.2750,1.185260
3.848584,13.789688,15.000000,1255.00,6.2750,1.210312
3.858605,13.767146,15.000000,1255.00,6.2750,1.232854
3.868774,13.746987,15.000000,1255.00,6.2750,1.253013
3.878789,13.729185,15.000000,1255.00,6.2750,1.270815
3.888672,13.713734,15.000000,1255.00,6.2750,1.286266
3.898741,13.700840,15.000000,1255.00,6.2750,1.299160
3.908803,13.690483,15.000000,1255.00,6.2750,1.309517
3.918897,13.682548,15.000000,1255.00,6.2750,1.317452
3.928892,13.677103,15.000000,1255.00,6.2750,1.322897
3.938942,13.674124,15.000000,1255.00,6.2750,1.325876
3.949027,13.673671,15.000000,1255.00,6.2750,1.326329
3.959071,13.675844,15.000000,1255.00,6.2750,1.324156
3.969208,13.680768,15.000000,1255.00,6.2750,1.319232
3.979159,13.688444,15.000000,1255.00,6.2750,1.311556
3.989178,13.698689,15.000000,1255.00,6.2750,1.301311
3.999271,13.711595,15.000000,1255.00,6.2750,1.288405
4.009378,13.727176,15.000000,1255.00,6.2750,1.272824
4.019433,13.745310,15.000000,1255.00,6.2750,1.254690
4.029385,13.765849,15.000000,1255.00,6.2750,1.234151
4.039399,13.789119,15.000000,1255.00,6.2750,1.210881
4.049520,13.814717,15.000000,1255.00,6.2750,1.185283
4.059518,13.842730,15.000000,1255.00,6.2750,1.157270
4.069662,13.872901,15.000000,1255.00,6.2750,1.127099
4.079648,13.905574,15.000000,1255.00,6.2750,1.094426
4.089610,13.940228,15.000000,1255.00,6.2750,1.059772
4.099799,13.977103,15.000000,1255.00,6.2750,1.022897
4.109791,14.016089,15.000000,1255.00,6.2750,0.983911
4.119799,14.056914,15.000000,1255.00,6.2750,0.943086
4.129806,14.099568,15.000000,1254.00,6.2700,0.900432
