# PropArm Data Recording
# Export Time: 2025-11-19T14:19:50
# Number of Points: 995
# Recording Duration: 9.993 seconds
# Start Time: 2025-11-19T14:19:05
# End Time: 2025-11-19T14:19:15
#
Recording_Time_s,Arm_Angle_deg,Ref_Angle_deg,Motor_Speed_rad_s,PWM_Input_us
4.393933,19.043040,0.000000,378.309829,1218.00
4.403844,18.885458,0.000000,378.146527,1218.00
4.413918,18.720926,0.000000,377.986456,1218.00
4.424111,18.548637,0.000000,377.829552,1218.00
4.434067,18.367675,0.000000,377.675751,1218.00
4.444202,18.178630,0.000000,377.524993,1218.00
4.454043,17.983290,0.000000,377.377217,1218.00
4.464129,17.782178,0.000000,377.232365,1218.00
4.474327,17.574762,0.000000,377.090379,1218.00
4.484331,17.359843,0.000000,376.951201,1218.00
4.494370,17.138312,0.000000,376.814776,1218.00
4.504453,16.911928,0.000000,376.681050,1218.00
4.514401,16.682132,0.000000,376.549970,1218.00
4.524568,16.447944,0.000000,376.421483,1218.00
4.534539,16.207992,0.000000,376.295538,1218.00
4.544615,15.963356,0.000000,376.138503,1217.00
4.554581,15.716246,0.000000,375.984575,1217.00
4.564598,15.467851,0.000000,375.833692,1217.00
4.574883,15.217248,0.000000,375.685793,1217.00
4.584697,14.962893,0.000000,375.540821,1217.00
4.594840,14.705635,0.000000,375.398716,1217.00
4.604881,14.448025,0.000000,375.259423,1217.00
4.614903,14.191283,0.000000,375.122885,1217.00
4.624964,13.934771,0.000000,374.989049,1217.00
4.635043,13.676804,0.000000,374.857860,1217.00
4.645083,13.418058,0.000000,374.729266,1217.00
4.655112,13.161081,0.000000,374.603216,1217.00
4.665101,12.907238,0.000000,374.479660,1217.00
4.675176,12.656096,0.000000,374.358548,1217.00
4.685516,12.406220,0.000000,374.206251,1216.00
4.695267,12.157809,0.000000,374.056967,1216.00
4.705152,11.912923,0.000000,373.910636,1216.00
4.715385,11.673291,0.000000,373.767199,1216.00
4.725338,11.438779,0.000000,373.626601,1216.00
4.735730,11.208268,0.000000,373.488784,1216.00
